Attribute,Index,Clean Value,Dirty Value
id,10,340222,2002636.6840952472
id,25,6207,nan
id,33,954388,nan
id,35,676042,nan
id,36,353972,1851770.300067334
id,42,110072,591186.2710948678
id,69,93659,nan
id,77,715052,2406398.2747501545
id,89,770196,nan
id,103,491006,2849946.3879609024
id,114,779281,2780996.74945945
id,117,585766,nan
id,125,946006,nan
id,126,36429,nan
id,132,757463,nan
id,133,465176,2765846.117784472
id,146,957059,4814797.050944245
id,169,901298,nan
id,173,690938,nan
id,189,717315,2894629.524601052
id,197,143029,440524.1046181861
id,203,979292,nan
id,205,533193,2103318.5965540046
id,241,519287,2589144.034535844
id,271,836847,4379691.745930181
id,290,734077,3221047.724088868
id,292,743129,nan
id,297,821702,2543910.58667751
id,318,931361,5029286.88607919
id,325,178078,556786.5756414246
id,326,453637,nan
id,346,950233,nan
id,352,294439,968750.4995608944
id,366,563505,nan
id,372,361906,nan
id,383,757176,3225171.9171650335
id,389,448010,nan
id,392,112716,nan
id,397,343395,nan
id,402,32426,105388.89917760306
id,405,533425,2267641.219014211
id,407,2842,nan
id,420,450528,nan
id,433,962338,nan
id,443,111970,nan
id,457,123492,nan
id,469,846319,4166959.745434238
id,471,788168,nan
id,477,72325,395881.28444308386
id,480,145874,658890.2714522883
id,486,378289,2044110.9106640404
id,502,699523,nan
id,527,254327,1149354.3827122557
id,529,73792,268670.226775018
id,532,105981,nan
id,535,623367,3191001.684779102
id,536,13408,nan
id,541,520843,nan
id,550,26475,nan
id,552,719389,2415551.8232301185
id,566,677752,3223207.1425609165
id,581,494428,1567845.535516211
id,592,927711,3696627.867730177
id,593,313584,1609993.9163797614
id,594,161847,594732.414465935
id,625,231933,919736.8208503652
id,638,786108,2464906.0198009387
id,667,954980,nan
id,672,416171,2263087.2968249028
id,686,65723,nan
id,708,107924,nan
id,719,820059,2886082.4381706337
id,724,64430,nan
id,744,440684,1384466.6258992052
id,764,259267,1099018.9939754612
id,768,482860,nan
id,771,625306,nan
id,772,572343,nan
id,776,245200,954102.9012639376
id,808,385163,1183656.3516751777
id,809,645061,nan
id,820,746312,nan
id,844,503354,nan
id,845,176844,nan
id,854,12554,nan
id,856,364080,1353607.097200427
id,861,470615,nan
id,878,448384,2142768.1099689608
id,892,246067,nan
id,897,15325,54103.3250078783
id,904,819735,nan
id,925,916713,3958216.070741451
id,941,305933,nan
id,947,740227,nan
id,973,643856,2401127.564735455
id,977,450760,nan
id,978,160121,nan
id,986,48202,249064.08484659556
id,987,558738,nan
article_title,4,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],nan
article_title,11,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan
article_title,13,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,Smoking is accompanied by a suppressed cervical$ nitric oxide release in women with high-risk human papillomavirus infection
article_title,19,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovasc#ular hypertension.
article_title,29,Strong stability and host specific bacterial community in faeces of ponies.,Strong stability and host specific ba%cterial community in faeces of ponies.
article_title,37,Successful treatment of lung cancer by multimodal endobronchial interventions,nan
article_title,53,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,How?? assistive technology use by individuals with disabilities impacts their caregivers: a system??atic review of the research evidence.
